Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Meal_Type,Diet_Type
Garlic Egg Noodles with Bread,217,10.3,19.8,7,Breakfast,Non-Veg
Lemon Fish Grill with Quinoa,323,31,6.1,1.1,Snack,Veg
Herb Paneer Pasta with Bread,581,23.8,34.3,19.8,Dinner,Veg
Herb Lentil Stir Fry with Noodles,318,18.6,30.6,11.5,Dinner,Non-Veg
Honey Lentil Stir Fry with Quinoa,408,31.9,86.7,33.3,Dinner,Veg
Herb Beef Burger with Flatbread,620,23.4,6,26.9,Breakfast,Veg
Herb Pork Wrap with Biryani,260,13.9,54,19.3,Breakfast,Veg
Teriyaki Chicken Grill with Biryani,279,4,16.9,32.7,Breakfast,Veg
Spicy Chicken Curry with Flatbread,347,4.7,38.8,34,Lunch,Veg
Butter Fish Stir Fry with Quinoa,456,24.5,55.9,27.7,Breakfast,Non-Veg
Teriyaki Shrimp Tacos with Biryani,83,2.1,38.9,25.1,Snack,Non-Veg
Garlic Shrimp Grill with Pasta,264,31.4,86.7,13.5,Breakfast,Non-Veg
Lemon Pork Noodles with Rice,125,33.5,31.1,21.7,Dinner,Non-Veg
Teriyaki Shrimp Burger with Quinoa,611,20.8,48.6,17.5,Lunch,Non-Veg
Teriyaki Fish Stir Fry with Quinoa,347,8.4,74.7,31.8,Dinner,Non-Veg
Herb Fish Wrap with Dumpling,142,33.6,15,9.1,Dinner,Non-Veg
Spicy Egg Burger with Pasta,405,12.2,75.6,9.9,Dinner,Veg
BBQ Pork Soup with Bun,491,13.2,52.5,18.6,Dinner,Non-Veg
Chili Paneer Burger with Rice,405,21,73,26.3,Dinner,Veg
Herb Paneer Rice Bowl with Dumpling,414,30.9,51.8,15.8,Breakfast,Non-Veg
Honey Paneer Stir Fry with Quinoa,176,23.8,12.9,5,Snack,Veg
Chili Tofu Grill with Pasta,375,7.7,28.6,17.1,Dinner,Veg
Lemon Chicken Curry with Pasta,122,6.4,24.8,5.6,Lunch,Non-Veg
Teriyaki Egg Stir Fry with Flatbread,498,2.6,66,13.4,Lunch,Veg
Butter Turkey Pasta with Bun,545,38.2,26,28.8,Dinner,Non-Veg
Lemon Beef Wrap with Dumpling,600,24.7,74,9.3,Dinner,Non-Veg
BBQ Chicken Grill with Ramen,523,19.3,16.4,19.8,Dinner,Non-Veg
Masala Lentil Soup with Bun,200,22,79.7,32.4,Lunch,Non-Veg
Masala Beef Curry with Ramen,468,19.4,61,33.9,Lunch,Non-Veg
Herb Lentil Tacos with Pasta,349,7.2,80.6,3.1,Snack,Non-Veg
Garlic Lentil Tacos with Bread,444,39.5,75.6,20.8,Lunch,Veg
BBQ Tofu Salad with Flatbread,328,10.6,76.7,12,Lunch,Non-Veg
Butter Tofu Salad with Flatbread,113,34.8,11.3,10.5,Snack,Non-Veg
Masala Paneer Grill with Biryani,289,8.1,40.2,16.7,Breakfast,Veg
Butter Tofu Burger with Pasta,119,37.1,12.3,2.8,Dinner,Non-Veg
Chili Beef Rice Bowl with Biryani,88,25.3,63.6,6.1,Dinner,Veg
BBQ Turkey Soup with Bread,385,15.1,57.6,18.1,Lunch,Veg
Honey Pork Wrap with Rice,393,23.2,47.4,30.7,Snack,Veg
Honey Chicken Soup with Ramen,331,16,14.5,13.1,Snack,Non-Veg
Herb Pork Grill with Rice,612,18.7,87.3,21.5,Snack,Veg
Honey Lentil Noodles with Pasta,153,17.3,63.8,5.5,Snack,Veg
Teriyaki Beef Tacos with Noodles,327,19.8,75.1,34.6,Lunch,Veg
BBQ Shrimp Burger with Bun,200,24.6,66.7,15.5,Breakfast,Veg
Chili Beef Curry with Dumpling,543,6,67.9,10.2,Lunch,Veg
Teriyaki Paneer Pasta with Pasta,81,36.1,9,23.9,Breakfast,Non-Veg
Masala Turkey Roast with Quinoa,544,32.4,87.9,18.5,Snack,Non-Veg
Honey Shrimp Burger with Rice,471,21.9,66.1,20.8,Snack,Non-Veg
BBQ Beef Wrap with Dumpling,132,19.5,88.6,34.4,Dinner,Veg
Masala Beef Rice Bowl with Rice,606,37.2,39.6,28.7,Snack,Veg
Spicy Chicken Stir Fry with Bun,217,22.6,5.4,22.6,Lunch,Veg
Butter Fish Roast with Dumpling,451,9.7,75.5,24.8,Lunch,Non-Veg
Garlic Fish Rice Bowl with Ramen,631,24.3,80.9,27.7,Lunch,Non-Veg
Masala Pork Curry with Dumpling,230,11.8,69.4,4.6,Breakfast,Non-Veg
Chili Pork Rice Bowl with Ramen,199,23.7,70.7,9.6,Lunch,Non-Veg
Chili Tofu Curry with Flatbread,268,3.9,8.2,20.2,Breakfast,Veg
Masala Egg Noodles with Pasta,107,25.3,26.7,11,Snack,Non-Veg
Masala Beef Soup with Pasta,229,38.3,47.5,8.9,Lunch,Non-Veg
Lemon Lentil Stir Fry with Noodles,424,20.1,21.5,14.7,Snack,Veg
Butter Paneer Soup with Bun,209,31.1,36.2,28.9,Snack,Veg
Garlic Pork Grill with Flatbread,423,9.4,12.7,31.1,Lunch,Non-Veg
Masala Turkey Tacos with Flatbread,443,23.4,70.4,31.8,Snack,Non-Veg
Spicy Tofu Noodles with Flatbread,597,33.8,54.8,9.3,Snack,Non-Veg
Teriyaki Lentil Noodles with Rice,232,36.3,28.3,17.5,Snack,Non-Veg
Lemon Tofu Stir Fry with Dumpling,680,7.8,36.4,14.9,Dinner,Veg
Butter Pork Soup with Bread,279,22.1,86.8,5,Snack,Veg
Butter Beef Salad with Quinoa,343,28.1,9.7,32,Lunch,Veg
Lemon Paneer Pasta with Bread,397,33.7,84.5,30.3,Dinner,Veg
Herb Pork Noodles with Bread,553,17.6,16.1,6.6,Snack,Veg
Herb Pork Wrap with Bread,394,26,38.9,33,Dinner,Veg
Herb Pork Salad with Pasta,172,18,72.2,2.6,Dinner,Veg
Herb Turkey Wrap with Quinoa,475,8.4,44.8,2.4,Lunch,Veg
Masala Beef Stir Fry with Rice,550,4,89.1,6.7,Lunch,Veg
Herb Chicken Burger with Bread,485,19.9,85.2,13.4,Dinner,Veg
Herb Tofu Salad with Quinoa,676,26.1,65.1,5.6,Lunch,Veg
Butter Paneer Noodles with Ramen,194,2.8,47.5,11.1,Breakfast,Veg
Masala Beef Wrap with Bread,96,3.8,38.7,23.6,Lunch,Veg
Garlic Pork Burger with Bread,614,35.3,14.7,34.6,Lunch,Veg
Garlic Tofu Curry with Noodles,358,14.2,25.1,18.2,Snack,Veg
Honey Turkey Noodles with Flatbread,591,21.5,21.2,18.5,Snack,Non-Veg
Herb Beef Curry with Rice,252,25.3,27.3,32.3,Snack,Non-Veg
Garlic Chicken Wrap with Bun,377,27.5,15.2,4.6,Breakfast,Veg
Teriyaki Lentil Curry with Bun,654,20.9,15.4,2.7,Lunch,Veg
Chili Chicken Burger with Ramen,418,14.8,79.8,27.5,Lunch,Non-Veg
Lemon Shrimp Grill with Quinoa,625,12.9,78,14,Dinner,Veg
Teriyaki Egg Rice Bowl with Rice,103,26.9,41.4,33.8,Breakfast,Veg
Teriyaki Pork Noodles with Bun,113,6.9,17.7,21.5,Lunch,Non-Veg
Honey Tofu Pasta with Rice,272,37,18.1,14,Dinner,Veg
Lemon Paneer Tacos with Bun,282,12.6,74.8,7.3,Lunch,Non-Veg
Lemon Fish Wrap with Biryani,647,37,75.3,31.7,Dinner,Veg
Chili Turkey Grill with Bread,147,29.7,41.4,3,Dinner,Veg
Spicy Beef Rice Bowl with Pasta,85,11.3,8.6,15.6,Lunch,Veg
Masala Beef Soup with Rice,695,17.9,30.4,11,Lunch,Non-Veg
Spicy Beef Stir Fry with Noodles,464,5.6,49.3,15.5,Lunch,Non-Veg
Butter Paneer Curry with Rice,332,33.1,88.2,31.4,Snack,Veg
BBQ Turkey Roast with Bun,248,8.7,42.7,28.8,Snack,Non-Veg
Lemon Pork Tacos with Biryani,105,22.9,42.6,1.1,Lunch,Veg
Garlic Beef Rice Bowl with Dumpling,229,9.9,13.8,28.6,Lunch,Veg
Lemon Lentil Curry with Ramen,210,29.1,38.2,17.1,Breakfast,Veg
BBQ Chicken Burger with Ramen,427,30.5,76.8,33.1,Snack,Veg
Teriyaki Beef Noodles with Bread,89,36.5,5.3,28.4,Snack,Non-Veg
Garlic Lentil Noodles with Noodles,206,25.5,84.9,23.2,Breakfast,Non-Veg
Garlic Fish Tacos with Quinoa,117,31,67.5,7.9,Breakfast,Non-Veg
Garlic Turkey Stir Fry with Rice,696,17.8,33.9,4.6,Dinner,Non-Veg
Herb Chicken Tacos with Rice,372,32.2,39.4,33.4,Breakfast,Veg
Lemon Turkey Grill with Bread,630,36.3,84.7,23.8,Breakfast,Non-Veg
Chili Egg Salad with Rice,482,37.6,24.4,16.5,Lunch,Veg
BBQ Shrimp Wrap with Flatbread,508,29.3,66.5,23.1,Snack,Non-Veg
Honey Chicken Curry with Bun,389,9.3,37.9,29.2,Snack,Veg
Butter Pork Noodles with Bun,649,24.9,49.8,5.3,Snack,Non-Veg
Honey Pork Salad with Biryani,601,26.3,46.2,34,Breakfast,Veg
Honey Pork Wrap with Pasta,121,28.3,73.7,18.6,Breakfast,Non-Veg
Chili Pork Wrap with Bun,602,31.2,57.2,5.7,Lunch,Veg
Garlic Turkey Noodles with Bun,292,7.5,59.4,31.8,Lunch,Veg
Chili Tofu Curry with Biryani,314,13.4,20.8,2.8,Dinner,Non-Veg
Chili Beef Grill with Quinoa,202,33.9,34.8,19,Breakfast,Veg
Spicy Tofu Soup with Flatbread,689,3,13.2,32.6,Lunch,Veg
Chili Paneer Pasta with Pasta,605,25.3,51.4,8.4,Breakfast,Non-Veg
Herb Fish Noodles with Ramen,629,11,74.5,11.4,Dinner,Non-Veg
Honey Egg Stir Fry with Biryani,446,16.7,71.4,32.7,Snack,Non-Veg
Honey Shrimp Wrap with Dumpling,365,29.7,87.1,32,Breakfast,Veg
Teriyaki Beef Burger with Bread,691,8.1,37.2,7.9,Snack,Veg
BBQ Chicken Noodles with Bun,593,35.7,78.9,32.6,Breakfast,Veg
Herb Tofu Tacos with Biryani,316,22.5,23.3,31,Dinner,Veg
Butter Pork Grill with Rice,523,30.4,20.2,7.1,Snack,Non-Veg
Herb Lentil Rice Bowl with Dumpling,382,27.6,56.3,10.3,Lunch,Non-Veg
Chili Pork Tacos with Biryani,474,21.4,10.6,15.4,Lunch,Non-Veg
Masala Lentil Wrap with Pasta,536,34.7,17.4,5,Lunch,Veg
Herb Turkey Noodles with Quinoa,197,5.2,52,11.6,Dinner,Non-Veg
Chili Chicken Roast with Bread,167,22.3,51.8,6.9,Snack,Non-Veg
Garlic Egg Wrap with Noodles,631,16.3,77.6,2.3,Lunch,Non-Veg
Butter Fish Grill with Rice,305,30.4,78.8,3.3,Snack,Veg
BBQ Turkey Pasta with Noodles,544,2.6,82.8,27.5,Dinner,Veg
Lemon Fish Soup with Quinoa,267,26.9,75.9,25.1,Snack,Veg
Honey Beef Salad with Quinoa,156,6.8,30,10.8,Breakfast,Veg
Teriyaki Pork Wrap with Bread,164,4,19.9,21,Dinner,Non-Veg
Chili Beef Burger with Rice,97,9.8,80.5,25.4,Breakfast,Veg
BBQ Lentil Pasta with Quinoa,642,2.3,63.5,34.3,Lunch,Non-Veg
Lemon Fish Roast with Quinoa,677,26.7,26.3,19.4,Dinner,Veg
Masala Beef Tacos with Quinoa,94,25.6,79.7,33.7,Breakfast,Veg
Teriyaki Egg Grill with Rice,299,4,18,24.6,Breakfast,Non-Veg
Lemon Pork Curry with Rice,328,10.5,16.9,21.3,Breakfast,Veg
Honey Pork Grill with Quinoa,126,8.5,7.4,15.2,Dinner,Non-Veg
Teriyaki Tofu Wrap with Dumpling,83,29.1,27.7,29.6,Breakfast,Non-Veg
Honey Beef Soup with Rice,660,39.7,28.9,23.4,Lunch,Veg
Spicy Chicken Tacos with Bread,574,39.3,43.3,19.7,Dinner,Non-Veg
BBQ Lentil Wrap with Quinoa,617,20.3,43.3,14.1,Dinner,Non-Veg
Chili Tofu Stir Fry with Bread,670,21,27.7,5.4,Breakfast,Non-Veg
Honey Tofu Salad with Quinoa,695,24.3,35.3,20,Snack,Veg
Lemon Pork Grill with Ramen,282,28.8,36.8,1.3,Breakfast,Non-Veg
Herb Shrimp Soup with Quinoa,389,7.3,50.6,31.2,Lunch,Veg
Herb Shrimp Soup with Flatbread,560,24.2,30.2,12.2,Snack,Non-Veg
Honey Pork Pasta with Dumpling,316,22.2,61.9,10.2,Breakfast,Non-Veg
Chili Egg Rice Bowl with Bun,691,16.6,16.2,22.3,Breakfast,Non-Veg
Herb Turkey Stir Fry with Bread,612,16.6,9.3,10.4,Lunch,Non-Veg
Teriyaki Turkey Salad with Bun,406,26.5,64.1,7.2,Breakfast,Veg
BBQ Fish Stir Fry with Dumpling,218,30.6,80,31.5,Snack,Non-Veg
Honey Pork Stir Fry with Ramen,141,3.9,15.7,29.1,Lunch,Veg
Masala Fish Stir Fry with Ramen,667,31.6,53.8,19.6,Breakfast,Non-Veg
Herb Shrimp Noodles with Biryani,500,22.3,39.3,31.2,Breakfast,Non-Veg
Herb Shrimp Rice Bowl with Bread,438,22.1,82.5,32.4,Breakfast,Non-Veg
Herb Egg Salad with Biryani,404,8.5,56.7,9.5,Snack,Veg
Teriyaki Shrimp Curry with Noodles,100,33.6,87.7,4.7,Lunch,Veg
BBQ Shrimp Tacos with Noodles,128,26.9,60.4,31.9,Breakfast,Non-Veg
BBQ Lentil Tacos with Rice,567,33.7,85.4,15.3,Breakfast,Non-Veg
Teriyaki Egg Curry with Quinoa,509,12,9,20.4,Snack,Non-Veg
Garlic Shrimp Stir Fry with Quinoa,188,31.7,59.2,14.2,Snack,Non-Veg
Honey Paneer Burger with Rice,499,22.3,73.7,11.4,Breakfast,Veg
Butter Lentil Soup with Bun,302,20.9,84.5,25.1,Snack,Veg
Masala Shrimp Noodles with Noodles,401,3.1,70,8,Breakfast,Non-Veg
Herb Pork Tacos with Rice,573,28.6,32.6,22.4,Lunch,Non-Veg
Garlic Paneer Stir Fry with Dumpling,517,39.7,23.5,16.6,Dinner,Non-Veg
Herb Chicken Salad with Rice,533,12.4,43.3,33.2,Snack,Non-Veg
Lemon Fish Burger with Flatbread,258,12.9,46.2,28.6,Breakfast,Non-Veg
Masala Beef Stir Fry with Bread,656,23.5,47.8,31.7,Breakfast,Non-Veg
Honey Lentil Grill with Biryani,216,39.3,22.1,18.7,Snack,Non-Veg
Spicy Chicken Curry with Ramen,97,30.9,64.8,31.2,Snack,Non-Veg
Masala Fish Salad with Bun,540,5.5,26.4,2,Snack,Non-Veg
Garlic Paneer Wrap with Noodles,428,19.6,83.9,16.1,Dinner,Veg
Spicy Paneer Noodles with Rice,265,11.9,30.9,12.8,Snack,Non-Veg
Honey Pork Grill with Bun,684,18.4,49.2,6.5,Dinner,Non-Veg
Garlic Chicken Curry with Ramen,334,33,58,6.5,Breakfast,Veg
Butter Beef Salad with Rice,604,37.6,43.4,9.9,Dinner,Veg
Masala Fish Rice Bowl with Pasta,458,11.6,30.3,3.5,Snack,Veg
Chili Egg Stir Fry with Noodles,612,21.7,25.6,33.8,Snack,Non-Veg
Chili Fish Pasta with Bun,158,34.7,14.6,4.3,Dinner,Non-Veg
Masala Fish Noodles with Dumpling,207,37.7,36.9,14.4,Dinner,Veg
Chili Chicken Rice Bowl with Biryani,345,24.8,79.5,34.4,Breakfast,Non-Veg
Herb Shrimp Burger with Ramen,156,20.7,37.5,34.8,Breakfast,Veg
BBQ Pork Wrap with Dumpling,115,33.5,25.4,14.5,Lunch,Veg
Lemon Paneer Tacos with Quinoa,648,19.7,48.3,31,Breakfast,Non-Veg
Herb Beef Stir Fry with Biryani,399,29.8,75.5,12.1,Lunch,Veg
Butter Chicken Wrap with Ramen,632,6.3,58.6,31.5,Breakfast,Non-Veg
Masala Paneer Tacos with Pasta,561,10.7,56.1,32.2,Snack,Veg
Lemon Beef Soup with Quinoa,130,22.3,85,28.1,Dinner,Veg
Lemon Shrimp Soup with Quinoa,397,11.5,52.2,12.7,Snack,Non-Veg
Butter Fish Stir Fry with Ramen,508,15.4,66.4,19.5,Snack,Non-Veg
Honey Paneer Stir Fry with Bread,202,11.8,62.5,17.3,Breakfast,Veg
Chili Pork Grill with Noodles,374,29.2,6.8,30,Snack,Non-Veg
Honey Shrimp Wrap with Pasta,623,28.4,5.3,20.2,Dinner,Veg
Herb Lentil Soup with Rice,171,3.7,85.8,8.7,Lunch,Non-Veg
Teriyaki Lentil Wrap with Dumpling,575,24.5,75.3,3.5,Lunch,Non-Veg
Herb Beef Soup with Dumpling,504,35.8,79.3,3.3,Dinner,Non-Veg
Teriyaki Tofu Rice Bowl with Flatbread,390,24.8,63.9,1.4,Lunch,Veg
Spicy Shrimp Pasta with Pasta,438,8.1,44.7,21.2,Dinner,Veg
Teriyaki Fish Rice Bowl with Bun,192,34.2,32.9,23.7,Dinner,Non-Veg
Lemon Paneer Noodles with Pasta,172,24.8,51.7,2.4,Lunch,Veg
Spicy Beef Tacos with Rice,253,28.6,27.9,17.8,Dinner,Non-Veg
Butter Paneer Roast with Pasta,565,2.9,42.7,1.5,Lunch,Non-Veg
Lemon Chicken Stir Fry with Bun,201,19,82.6,14.8,Lunch,Veg
Lemon Beef Stir Fry with Ramen,693,20.4,22.9,22.3,Lunch,Non-Veg
Teriyaki Lentil Burger with Flatbread,144,23.2,11.9,16.7,Lunch,Non-Veg
Lemon Tofu Noodles with Dumpling,212,27.9,89.8,7.4,Breakfast,Non-Veg
Herb Chicken Soup with Ramen,199,29.5,69.9,21.3,Breakfast,Veg
BBQ Fish Burger with Flatbread,217,19.9,50.5,14.4,Snack,Veg
Garlic Pork Noodles with Quinoa,538,37.9,46.5,12.2,Breakfast,Non-Veg
Honey Turkey Soup with Pasta,257,23.4,79.7,21.2,Dinner,Veg
Herb Chicken Curry with Bun,445,27.5,45.5,27.2,Lunch,Veg
Garlic Egg Salad with Noodles,83,3.8,47.6,10,Breakfast,Veg
Butter Paneer Tacos with Quinoa,383,11.5,38.3,6.3,Lunch,Veg
Lemon Shrimp Roast with Noodles,456,23.7,50.1,28.8,Breakfast,Non-Veg
BBQ Pork Salad with Biryani,282,5.5,45,21.7,Lunch,Non-Veg
Butter Chicken Noodles with Dumpling,191,39.2,25.6,9.9,Breakfast,Veg
Butter Chicken Salad with Flatbread,247,17.2,85.3,14.1,Dinner,Veg
Garlic Lentil Rice Bowl with Flatbread,450,22.9,82.3,21.8,Breakfast,Veg
BBQ Shrimp Stir Fry with Quinoa,360,12.8,6.2,32.3,Dinner,Veg
BBQ Tofu Burger with Pasta,544,36.1,88.1,26.4,Lunch,Non-Veg
Spicy Turkey Roast with Noodles,268,34.2,49.7,20.4,Breakfast,Non-Veg
Herb Beef Rice Bowl with Bun,513,13.1,6.8,34,Snack,Veg
Butter Lentil Pasta with Flatbread,111,11,21.5,32.3,Lunch,Non-Veg
Spicy Tofu Soup with Ramen,237,33.2,72.3,16.8,Snack,Non-Veg
Lemon Lentil Stir Fry with Dumpling,142,7.9,16.3,2.1,Snack,Veg
Honey Egg Roast with Rice,354,4.9,73.6,10,Snack,Veg
Garlic Egg Curry with Dumpling,150,31.7,57.7,12.4,Breakfast,Veg
Lemon Turkey Soup with Ramen,672,35.2,20.5,1.3,Breakfast,Veg
Butter Tofu Wrap with Ramen,490,6.6,69.1,2.8,Breakfast,Non-Veg
Teriyaki Lentil Stir Fry with Bun,386,20.5,85.6,24.4,Dinner,Non-Veg
Masala Turkey Pasta with Bread,580,23.1,81.7,28.5,Lunch,Veg
Herb Pork Salad with Rice,173,37.8,44.7,28.1,Dinner,Veg
Garlic Beef Curry with Pasta,191,34.7,48.8,6.3,Breakfast,Non-Veg
Teriyaki Tofu Rice Bowl with Noodles,285,27.1,7.2,12.4,Lunch,Non-Veg
Chili Tofu Pasta with Rice,533,16.6,83.5,20.4,Breakfast,Veg
Chili Lentil Grill with Quinoa,165,5.1,67.8,23.9,Snack,Veg
Honey Paneer Burger with Pasta,487,15.1,84.5,34.2,Dinner,Non-Veg
Masala Lentil Pasta with Quinoa,126,3.2,70.9,20.3,Snack,Non-Veg
Chili Egg Soup with Ramen,166,37,17.3,31.7,Dinner,Non-Veg
Herb Beef Burger with Ramen,447,8.2,18.4,13.6,Dinner,Veg
Teriyaki Pork Burger with Bread,237,35.4,19.4,29.1,Snack,Veg
Butter Turkey Noodles with Pasta,700,6.5,85.4,18.1,Snack,Veg
Herb Beef Grill with Rice,226,28.2,75.1,24.3,Snack,Veg
BBQ Fish Wrap with Flatbread,269,17,80.9,4.6,Breakfast,Veg
Teriyaki Tofu Stir Fry with Flatbread,547,25.8,21.3,24.2,Lunch,Non-Veg
Butter Chicken Tacos with Pasta,122,26.6,15,11.1,Snack,Non-Veg
Spicy Tofu Tacos with Dumpling,121,36.5,71.8,20.2,Dinner,Non-Veg
Garlic Beef Soup with Bun,654,39.6,66.2,5.1,Lunch,Veg
Butter Lentil Noodles with Flatbread,657,5.1,46.8,7.4,Lunch,Non-Veg
Teriyaki Tofu Pasta with Rice,657,9.5,43.9,15.3,Lunch,Non-Veg
Masala Shrimp Tacos with Pasta,567,28.3,26.2,29.3,Dinner,Veg
Honey Tofu Soup with Biryani,414,19,19.7,20.4,Snack,Non-Veg
Herb Tofu Soup with Bun,163,9.3,24.3,22.5,Lunch,Non-Veg
Teriyaki Fish Grill with Bread,387,23.4,67.9,33.4,Snack,Veg
Herb Egg Rice Bowl with Dumpling,475,38.5,53.5,10.3,Breakfast,Veg
Herb Egg Grill with Noodles,322,33.2,22.8,17.8,Lunch,Veg
Lemon Egg Soup with Dumpling,324,6.9,84.6,34.2,Breakfast,Veg
Garlic Tofu Noodles with Ramen,666,30.5,53.3,31.4,Lunch,Veg
Butter Tofu Curry with Biryani,160,20.3,11.6,5.6,Snack,Non-Veg
Teriyaki Fish Tacos with Quinoa,457,12.8,79.8,13.6,Snack,Non-Veg
Masala Egg Tacos with Bun,431,23.6,32.5,18,Snack,Veg
Honey Turkey Burger with Bread,265,28.4,70.2,27.6,Dinner,Non-Veg
Lemon Fish Curry with Ramen,266,15.7,40.9,20.6,Breakfast,Veg
Butter Shrimp Pasta with Dumpling,604,21.2,45.8,3.3,Snack,Veg
Lemon Fish Tacos with Quinoa,91,4.9,31,12.5,Snack,Veg
BBQ Chicken Soup with Bread,517,7.8,89.8,21.8,Snack,Veg
Masala Egg Grill with Dumpling,684,39.8,6.7,17.6,Breakfast,Veg
Chili Paneer Burger with Ramen,98,34.5,55.4,14.4,Breakfast,Non-Veg
Chili Egg Wrap with Ramen,133,10.7,57.3,10.2,Lunch,Veg
Chili Paneer Noodles with Quinoa,491,17.8,76.4,17.8,Lunch,Veg
BBQ Pork Roast with Bun,101,38.4,35.3,25.5,Breakfast,Veg
Spicy Chicken Rice Bowl with Bread,447,5.2,33.1,13.3,Breakfast,Non-Veg
Spicy Shrimp Tacos with Quinoa,331,9.9,60.1,18.9,Snack,Veg
Lemon Egg Rice Bowl with Pasta,385,38.7,62.9,20.5,Lunch,Veg
BBQ Pork Grill with Ramen,624,13.9,86.9,29,Snack,Veg
Spicy Paneer Tacos with Pasta,298,38.2,30.8,16.2,Lunch,Veg
BBQ Lentil Rice Bowl with Ramen,531,39.8,63.1,4.3,Breakfast,Non-Veg
Garlic Paneer Stir Fry with Noodles,498,3.7,15,20.6,Breakfast,Veg
Butter Tofu Noodles with Bread,361,26.5,13.3,32.2,Snack,Non-Veg
Herb Egg Wrap with Biryani,173,7.5,5.5,8.6,Dinner,Non-Veg
Butter Lentil Pasta with Bread,408,33.1,35.4,21.3,Lunch,Non-Veg
Spicy Egg Soup with Pasta,229,4.3,38.7,30.8,Breakfast,Veg
Herb Shrimp Rice Bowl with Rice,416,16,40.1,16.5,Breakfast,Veg
BBQ Shrimp Rice Bowl with Quinoa,409,24.1,36.2,11.3,Dinner,Veg
Herb Egg Soup with Ramen,490,6.6,77.7,22.8,Snack,Non-Veg
Chili Fish Rice Bowl with Biryani,420,20.2,40.9,25.5,Dinner,Veg
Spicy Beef Soup with Rice,216,8.5,6,4.3,Breakfast,Veg
Herb Shrimp Roast with Biryani,384,19.3,38.4,26,Lunch,Non-Veg
Chili Tofu Wrap with Bread,166,15.5,43.9,1.5,Lunch,Veg
BBQ Paneer Pasta with Biryani,561,24.8,58.5,1.5,Snack,Non-Veg
Teriyaki Turkey Wrap with Noodles,578,31.5,70.9,31.2,Snack,Veg
Spicy Lentil Burger with Rice,654,13.1,82.6,24.6,Breakfast,Non-Veg
Lemon Chicken Soup with Noodles,342,32.9,24.1,31.3,Lunch,Non-Veg
Butter Pork Burger with Noodles,579,6.3,61.3,6.1,Lunch,Veg
Teriyaki Tofu Roast with Biryani,595,3.9,56.7,1.6,Breakfast,Non-Veg
Garlic Beef Grill with Bun,319,17.7,18,6.9,Lunch,Non-Veg
Herb Fish Grill with Bread,434,3.9,14.1,1.4,Snack,Non-Veg
Chili Tofu Noodles with Quinoa,246,5.5,41.7,21.1,Breakfast,Veg
Garlic Chicken Salad with Ramen,230,39.1,49.7,32,Snack,Non-Veg
Garlic Paneer Stir Fry with Biryani,215,27.1,75.4,29.3,Snack,Non-Veg
BBQ Shrimp Soup with Ramen,486,18.4,74.2,18.3,Lunch,Non-Veg
Spicy Chicken Roast with Biryani,407,40,42,26,Breakfast,Veg
BBQ Pork Salad with Bun,461,11.9,79.5,11.7,Snack,Non-Veg
Garlic Turkey Burger with Noodles,320,23,50.6,25.8,Dinner,Veg
Teriyaki Chicken Curry with Rice,421,38,12.8,15.7,Lunch,Non-Veg
Spicy Turkey Wrap with Bread,528,35.9,70.7,22.5,Snack,Non-Veg
Butter Chicken Tacos with Bread,532,4.4,74,3.7,Snack,Non-Veg
BBQ Beef Stir Fry with Bun,483,14.9,64.9,20.9,Snack,Veg
Garlic Egg Rice Bowl with Bread,487,14.7,13,4.9,Snack,Veg
Spicy Chicken Rice Bowl with Noodles,445,33.8,89.2,19.4,Lunch,Non-Veg
Lemon Chicken Rice Bowl with Bread,564,20,85.9,21.6,Snack,Non-Veg
Spicy Egg Wrap with Rice,508,34.2,82.6,24,Lunch,Veg
Chili Tofu Noodles with Noodles,282,24.5,85.9,11.9,Dinner,Veg
Herb Paneer Pasta with Rice,105,18.9,43.8,19.4,Breakfast,Veg
Lemon Paneer Grill with Quinoa,617,15.5,64,29.8,Snack,Non-Veg
Herb Chicken Tacos with Flatbread,174,15.8,47.7,31.4,Dinner,Non-Veg
Butter Paneer Noodles with Quinoa,126,33.6,15.5,7.2,Dinner,Veg
Spicy Paneer Salad with Noodles,140,2.3,71.2,9.2,Dinner,Non-Veg
Masala Beef Soup with Dumpling,103,21.9,64.8,8.2,Lunch,Non-Veg
Lemon Turkey Wrap with Pasta,103,4.2,18.7,12.8,Breakfast,Veg
Herb Fish Burger with Bun,491,14.3,76.1,15.8,Lunch,Veg
Honey Beef Soup with Bun,299,34.4,38.6,16.1,Snack,Veg
Herb Pork Salad with Quinoa,539,30,47.2,20.8,Dinner,Non-Veg
Chili Fish Burger with Biryani,699,38.4,41.7,22.6,Snack,Veg
Masala Fish Salad with Noodles,518,20.9,15.1,24.5,Breakfast,Non-Veg
Garlic Fish Salad with Rice,620,6.1,11.6,1.1,Dinner,Non-Veg
Garlic Turkey Rice Bowl with Dumpling,636,29.4,46.7,20.8,Snack,Veg
Butter Lentil Salad with Bun,378,6.4,5.5,16.5,Breakfast,Non-Veg
Garlic Chicken Soup with Ramen,324,23,43,18.4,Breakfast,Non-Veg
Honey Egg Stir Fry with Ramen,334,27.2,10.9,29,Lunch,Veg
Lemon Paneer Roast with Flatbread,352,29.8,50.8,3.7,Breakfast,Veg
Chili Chicken Roast with Dumpling,155,19.3,31.3,19.3,Snack,Non-Veg
